"City of Residence, current","Country of Residence, current",Gender,Latest education status,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
"Rizal, Philippines",Philippines,Male,College degree,Kaggle Online course,Banking / Finance / Insurance,Student/ New grad/ Career Break,None,none,,_,NONE, ,/,not applicable,_,/,none,None,na,., ,/,-,_,"Excel, Google Drive, Discord",Python,Chatgpt,NONE,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines","Career advancement, Upskill / Skill acquisition","Answer surveys, Regularly post content",I think it would be great if a discord server or a slack server is created since those platforms are more versatile when it comes to topic management and roles.,_,Local employer,22
"Pampanga, Philippines",Philippines,Female,Master's degree,"Datacamp, LinkedIn Learning, StrataScratch","IT, BPO, and Business Services","Professional (fresh grad, but just started working; < 1 month)",Work city different from residence,Makati City,"25,001 to 35,000",Full-time,"Anywhere, as I'm not really being required to go onsite, but I do choose to go onsite during the latter half of my shifts because I wait for my partner to finish her shift - she works also in the same company, but her shift finishes 3hours after mine ends.",Management,Management,4 to 5,na,Pandas,,,Brandwatch,, _,,,,"Excel, MS Teams","DAX (Power BI), M language (Power Query), SQL",Chatgpt,not applicable,laptop,"No, I just found out now.","Yes, I have used at least one resource.",None,"Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Lead a study group, Co-training/ Training, Volunteer for group initiatives", ,"LinkedIn, Indeed, Jobstreet",Local employer,24
"Baguio City, Philippines",Philippines,Male,College degree,"Coursera, Datacamp",Career shifters ,Career shifter,Work city same as residence,Baguio City,"15,001 to 25,000",Full-time,100% onsite,Analytics Engineer,"Management, Data Engineer, Data Analyst",4 to 5,_,_,None,-,NONE,Don't know,/,NONE,none,,"Google sheets, Excel, Google Drive, Clickup, Discord",. ,"Chatgpt, Datalab",Deepnote Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Volunteer to speak in events",NONE,My network  - people I know,/,27
"Quezon City, Philippines",Philippines,Male,College degree,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Mandaluyong,"15,001 to 25,000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Data Engineer, Developer",11 to 30,"Visual Studio, Visual Studio Code, C#","Excel, Knime",Databricks,Don't know,Power BI,_, ,None,"Amazon Web Services (AWS), Snowflake",PostgreSQL,"Google sheets, Excel, Google Drive, MS Teams","Javascript, Python, SQL, C",Chatgpt,na,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",na,"Career advancement, Upskill / Skill acquisition, Network",Answer surveys,_,LinkedIn,None,41
"Laguna, Philippines",Philippines,Male,Secondary school student,"Datacamp, LeetCode",Not working,Student/ New grad/ Career Break, _, _,,.,NONE,-,/,none,None, , _, _, _,,-,None,NONE,. ,"Excel, Google Drive, Zoom, MS Teams, Google Meet","Python, SQL",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Big Data Analytics PH, Community: SPARTA PH, Power BI Philippines UG, PyData Philippines, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",not applicable,. ,_, _,23
"Manila, Philippines",Philippines,Male,Master's degree,"Cisco, Codecademy, Coursera, Cybrary, Datacamp, edX, Freecodecamp, HackerRank, Khan Academy, MicrosoftLearn, W3Schools, Youtube bootcamp",Not working,"Currently not on a data career path, but open to opportunities in this field.",Work city different from residence,abroad,"c.250,001 and above",Other - specify,Hybrid,Management,Business Administration,4 to 5,.,.,-,na,NONE,none,na,not applicable,none,none,not applicable,not applicable,/, ,desktop,"No, I just found out now.",_, _,"Continued learning, Decision to shift",Answer surveys,na,online job search abroad,Local employer,37
albay,Philippines,Female,College degree,"Coursera, Udemy",Not working,Student/ New grad/ Career Break,-, ,,none,not applicable,/,none,none,na, ,none,na,none, ,. , _,na,/,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord","Python, SQL","Chatgpt, Gemini, Cici",/,laptop,"No, I just found out now.", _,,"Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,. , ,Local employer,43
"La pinas, Philippines",Philippines,Female,Master's degree,"Datacamp, Freecodecamp, LinkedIn Learning, MicrosoftLearn, Myonlinetraininghub, Power Up Program, Udemy",Not working,Student/ New grad/ Career Break,NONE,None,,None,-, ,_,not applicable,-,.,None,na,not applicable,-, _,none,none,na,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","Appscript (Google), DAX (Power BI), M language (Power Query), Python, SQL, Typescript, VBA",Not applicable due to security issues.,/,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Python Philippines,"Continued learning, Network, Potential future mentoring opportunities ",Answer surveys,., ,Multinational employer,31
"Clark, Philippines",Philippines,Male,College degree,"Datacamp, Kaggle Online course, Khan Academy, LinkedIn Learning, Udemy, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city same as residence,"Clark, Pampanga","85,001 to 95,000",Full-time,100% onsite,AI Engineer,"Management, Data Engineer, Data Analyst, Data Scientist, Business Analyst, Software Engineer, Analytics Engineer, Cloud Architect, Machine Learning Engineer, AI Engineer, Product Advocate, Developer",2 to 3,none,"Pandas, Polars",/, ,"Looker, Power BI, Plotly Dash",not applicable,na,none,Amazon Web Services (AWS),"Apache Kafka, MongoDB, PostgreSQL","Google sheets, Excel, Clickup, Asana, Trello, MS Teams","Javascript, M language (Power Query), Python, SQL","Chatgpt, Copilot, Gemini","Kaggle Notebooks, Colab Notebooks",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, Power BI Philippines UG, Project SPARTA, NLPinas","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Connect with sponsors, Joint initiative with other groups, Mentor, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",/,LinkedIn,Local employer,26
"Manila, Philippines",Philippines,Female,College degree,Trailhead,Not working,Student/ New grad/ Career Break,None,not applicable,,NONE,none,. ,.,none,NONE,-,-, _,None,-, , ,NONE,not applicable,"Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Discord","Javascript, Python","Chatgpt, Copilot, Gemini",none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","[Manila] BIG DATA Tech Group, Big Data Analytics PH, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",na,not applicable,Student,20
